Scrippt Name (Diagnosis),Pediatric/Adult,Category,Pathophysiology,Epidemiology,Signs/Symptoms,Diagnostics,Treatments,Links,Image URL
Acne vulgaris,Both,Dermatology,Inflammation of hair follicles and sebaceous glands ," Prevalence (for all ages) of 9.38%, Most frequently occurs in adolescents","Erythematous pustules on the face, neck, chest, and back, Cystic lesions can form in severe cases.",History and clinical examination,"Topical retinoids, Antibiotics (oral or topical), Benzoyl peroxide, Oral contraceptives, Oral isotretinoin, Soaps and astringents ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3088940/,
Molluscum contagiosum,Both,Dermatology,Viral skin infection in children and in patients positive for human immunodeficiency virus (HIV),most common in children 1 to 10 years of age,"Painless, shiny papules with central umbilication 
found on the face, back, chest, and extremities in children; in adults, found in perineal region",Giemsa and Wright stains show large inclusion bodies,"Self-limited; chemical, laser, or cryotherapy for removal",https://www.cdc.gov/poxvirus/molluscum-contagiosum/index.html,
 Scabies,Both,Dermatology,Cutaneous infestation by Sarcoptes scabiei mite,"prevalence of 5–10% in children, Risk factors: crowded living conditions, poor hygiene","Pruritus at site of involvement, papules on the skin
",Mites and eggs may be seen in skin scrapings under microscope,"Permethrin cream or oral ivermectin; diphenhydramine, all clothing, towels, and linens must be washed in hot water.",https://www.aafp.org/afp/2015/1115/p919.html,
Viral influenza,Adult,Pulmonology,generalized URI from various influenza strains,"All ages, higher risk for very young and very old","arthralgia, myalgias, sore throat, high fevers","rapid antigen testing, pcr more sensitive but takes longer","vaccination, tamiflu may shorten duration of disease, supportive care",https://www.aafp.org/dam/AAFP/documents/journals/afp/Influenza.pdf,
Sinusitis,Adult,Pulmonology,"infection of sinus cavities, usually viral (90-98%), but can be Strep, Haemophilus, or M. Catarrhalis. ","All ages, usually > 8 yo","pain over infected sinuses, purulent nasal discharge","clinical, but CT may show opacification of infected sinus","amoxicillin or other pcn, for chronic may need longer course",https://www.aafp.org/afp/2011/0501/p1057.html,
Acute bronchitis,Adult,Pulmonology,Inflammation of trachea and bronchi caused by the spread of URI or exposure to inhaled irritants,44 of 1000 adults annually,"Productive cough, sore throat; fever, wheezing, tight breath sounds","Sputum culture, CXR may show only mild congestion","Self-limited if viral, antibiotics ",https://www.aafp.org/afp/2016/1001/p560.html,
Community Acquired Pneumonia,Adult,Pulmonology,"Infection of the bronchoalveolar tree can be caused by common nasopharyngeal bacteria or bacteria, viruses, or fungi ",1.5 to 14/1000 community-acquired pneumonia persons/years ,"Pleuritic chest pain; rales, wheezing, egophony, tactile fremitus, tachypnea","Increased WBC with left shift; positive sputum and blood culture
CXR shows lobar consolidation, infiltrates, or general increased density of lung fields","viral pneumonia is self-limited, requires supportive care;
antibiotics, antifungal",https://www.aafp.org/afp/2016/1101/p698.html,
Tuberculosis (TB),Adult,Pulmonology,"Pulmonary infection caused by Mycobacterium tuberculosis
","10 new cases per 100,000 people each year, Risk factors: immunosuppression, alcoholism, lung disease, DM, advanced age,  crowded living conditions, and close proximity to infected patients ","Hemoptysis, dyspnea, weight loss, night sweats; fever, rales","PPD tuberculin skin test is a screening test for exposure, positive sputum acid-fast stain, positive culture, bronchoscopy 
CXR show apical fibronodular infiltrates, lower-lobe infiltrates, Ghon complexes","Respiratory isolation for any inpatient; multidrug treatment initially with isoniazid (INH), rifampin, pyrazinamide, and ethambutol followed by INH and rifampin only for a total of 6 months; vitamin B6, DOT therapy for non-complaint patients

",https://www.aafp.org/afp/2000/0501/p2667.html,
 Typical Bacterial pneumonia,Adult,Pulmonology,Lower respiratory tract infection caused by bacteria,"900,000 people each year","High fever, productive cough, chills, dyspnea, loss of appetite, chest pain","focal lung exam: crackles, bronchial breath sounds, or dullness to percussion, CBC; Increased WBCs, CXR: White spots, Culture sensitivity to confirm bacteria"," Empiric therapy, macrolides, supportive therapy",https://www.aafp.org/afp/2006/0201/p442.html,
Atypical bacterial pneumonia,Adult,Pulmonology,"Lower respiratory tract infection caused by atypical bacteria such as Mycoplasma pneumoniae, Chlamydophila pneumoniae and Legionella pneumophilia",,"Flu-like symptoms, headache, fatigue myalgias","Focal lung exam: crackles, bronchial breath sounds, or dullness to percussion, CBC; Increased WBCs, CXR: White spots, Culture sensitivity to confirm bacteria","Empiric therapy, Macrolides, supportive therapy",https://www.aafp.org/afp/2004/0401/p1699.html,
Asthma,Adult,Pulmonology,"Reversible airway obstruction secondary to bronchial hyperactivity, acute airway inflammation, mucus plugging, and smooth muscle hypertrophy


","20 million U.S. adults age 18 and over 
Risk factors: family history of asthma, allergies, atopic dermatitis, low socioeconomic status
","Wheezing, chest tightness; prolonged expiratory duration, wheezing, accessory muscle use,  pulsus paradoxus; ","PEFR decreased, PFT shows decreased FEV1, normal/elevated DLco;  respiratory alkalosis, CXR shows hyperinflation","Bronchodilators, cortecosteroids, avoidance of exacerbating factors ",https://www.aafp.org/afp/2020/0615/p762.html,
Chronic bronchitis,Adult,Pulmonology,Chronic bronchial inflammation associated with tobacco use chronic asthma  ,,"Productive cough, recurrent respiratory infections, dyspnea; rhonchi
","History of productive cough for 3 months, PFTs show gradually worsening signs of obstructive disease","Tobacco cessation, antibiotics, bronchodilators 
",https://www.aafp.org/afp/1998/0515/p2365.html,
COPD,Adult,Pulmonology,"Destruction of alveoli and bronchioles resulting in panacinar airspace enlargement and a decreased capillary bed, Less commonly caused by a1-antitrypsin deficiency","Prevalence  in the US is approximately 14 million,","Morning headache; barrel chested, pursed-lip breathing, prolonged expiratory duration, rhonchi, JVD","PFT shows decreased FEV1, decreased FEV1/FVC, increased total
lung capacity (TLC), CXR shows flat diaphragm,  subpleural blebs and bullae a",Smoking cessation; supplemental O2; b2-agonists; inhaled corticosteroids; antibiotics  ,https://www.aafp.org/afp/2017/0401/p433.html,
Bronchiectasis,Adult,Pulmonology,"Permanent dilation of small and medium bronchi because of the destruction of bronchial elastic components
","350,000 to 500,000 adults in the US","Hemoptysis, respiratory infections, copious sputum,  rales, and hypoxemia,  multiple cysts and bronchial crowding on CXR; CT shows dilation of bronchi, bronchial wall thickening","History and physical examination, CXR or CT","pulmonary hygiene, chest physical therapy; antibiotics, corticosteroids ",https://www.racgp.org.au/afp/2012/november/bronchiectasis/,
pulmonary fibrosis,Adult,Pulmonology,Idiopathic Inflammatory lung disease causing lung fibrosis,Generally affects patients 50 years of age,"Exercise intolerance, dyspnea; dry crackles, JVD, tachypnea, digital clubbing","FEV1/FVC normal, decreased FVC, decreased TLC, fibrosis on lung biopsy, CXR shows “honeycomb” lung, CT will show “ground glass” appearance","corticosteroids, azathioprine or cyclophosphamide, lung transplant ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6111543/,
Sarcoidosis,Adult,Pulmonology,"Idiopathic systemic disease characterized by noncaseating granulomas
","Risk factors: blacks >whites; females>males; most frequently occurs between 10 and 40 years of age
","Weight loss, arthritis, chest pain; erythema nodosum, lymphadenopathy, vision loss, cranial nerve palsies","Increased serum ACE, hypercalciuria, increased alkaline phosphatase, decreased WBC, increased ESR; CXR shows bilateral hilar lymphadenopathy and pulmonary infiltrates","Corticosteroids, cytotoxic drugs, lung transplantation ",https://www.aafp.org/afp/2016/0515/p840.html,
Goodpasture Syndrome,Adult,Pulmonology,Progressive autoimmune disease of lungs and kidneys caused by antiglomerular basement membrane (anti-GBM) antibodies ,"incidence of 0.5-1.8/million/year in European white and Asians,  predominantly affects the white population, with bimodal age distribution in 20 - 30 years and 60 - 70 years old.","Hemoptysis, dyspnea, recent respiratory infection","positive anti-GBM antibodies; renal biopsy shows crescentic glomerulonephritis, CXR shows bilateral alveolar infiltration","plasmapheresis to remove autoantibodies; corticosteroids and
immunosuppressive agents",https://doi.org/10.1093/ndt/gfx057,
Wegener’s Granulomatosis,Adult,Pulmonology,"Rare disease with granulomatous inflammation and necrosis of lung and other organ system
",annual incidence rates from 3 to 14 per million,"hemoptysis, ulcerations of the nasopharynx, fever; mild hematuria, sensory neuropathy, cranial nerve dysfunction conjunctivitis, proptosis, arrhythmia","positive c-ANCA, noncaseating granulomas; renal biopsy detects vasculitic process","Cytotoxic therapy, corticosteroids
",https://doi.org/10.1309/AJBWYYKXJUFB6GPU,
Pulmonary embolism (PE),Adult,Pulmonology,"Occlusion of pulmonary vasculature by a dislodged thrombus

","Risk factors: immobilization, cancer, prolonged travel, recent surgery,  hypercoagulability,  fractures","Pleuritic chest pain, cough, syncope, feeling of impending doom; loud S2, ","Increased D-dimer, ECG shows tachycardia, CXR show wedge-shaped infarct","Supplemental O2, IV fluids for hypotension; anticoagulant therapy; ",https://www.aafp.org/afp/2017/0301/p295.html,
 Malignant mesothelioma,Adult,Pulmonology,"Tumor occurring on visceral pleura or pericardium with very poor prognosis
","Increased incidence with asbestos exposure (occurs 20 years after exposure), especially in smokers","nonpleuritic chest pain, dullness to percussion over lung bases, palpable chest wall mass, scoliosis ","pleural biopsy; thoracocentesis for pleural effusion effusion 
CXR shows pleural thickening, pleural effusion; CT display the extent ","extrapleural pneumonectomy with adjuvant chemotherapy and
radiation therapy",https://doi.org/10.3389/fonc.2020.00343,
Obstructive Sleep Apnea,Adult,Pulmonology,Episodic cessation of airflow during sleep leading to desaturations and frequent arousals,"Risk factors: obesity, sedative use; males more than females","Excessive daytime sleepiness, snoring, gasping or choking during sleep,  obesity common, anatomic abnormalities of palate or pharynx ","Epworth sleepiness scale predicting likelihood of sleep apnea, polysomnography, Sao2, and number of arousals","Bariatric surgery in obesity, CPAP, tracheostomy, respiratory stimulants; phrenic nerve pacemaking may be needed in severe  cases",https://www.aafp.org/afp/2016/0901/p355.html,
Croup,Pediatric,Pulmonology,"Acute inflammation of larynx, typically parainfluenza
",Most common between 3 months and 5 years of age,"Nasal congestion, barking cough, mild pharyngeal erythema, lymphadenopathy",Steeple sign on XR,"supportive care, aerosolized epinephrine and glucocorticoids ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3796596/,
 Epiglottitis,Pediatric,Pulmonology,"Rapidly progressive infection of the epiglottis and surrounding tissues that can cause airway obstruction

",Most common in children from 2 to 7 years of age,"dysphagia, drooling, soft stridor, muffled voice, inspiratory retractions, erythematous and swollen epiglottis
","Neck radiographs show swollen, opacified epiglottis (thumbprint sign); ","Intubate (nasotracheal) to maintain airway patency; antibiotics, emergent tracheostomy",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3498669/,
Bronchiolitis,Pediatric,Pulmonology,"Viral infection of bronchioles, commonly RSV
",Commonly occurs in winter and spring; usually found in children <2 years of age,"Nasal congestion, respiratory distress, prolonged expiration, hyper resonance to percussion","rapid RSV, CXR shows hyperinflation of lungs and patchy infiltrates","Hydration, humidified air; bronchodilators",https://www.aafp.org/afp/2017/0115/p94.html,
Respiratory distress syndrome ,Pediatric,Pulmonology,surfactant deficiency because of lung immaturity that leads to decreased lung compliance,preterm infants,"Nasal flaring, expiratory grunting, intercostal retractions, respiratory rate >60 breaths/min, crackles","ABG shows increased CO2, decreased O2, sphingomyelin ratio,  CXR shows bilateral atelectasis with ground glass appearance and decreased lung volumes","maternal administration of corticosteroids, supplemental O2 and surfactant replacement therapy, intubation",https://www.aafp.org/afp/2015/1201/p994.html,
Meconium aspiration syndrome,Pediatric,Pulmonology,Aspiration of meconium  causing obstruction of airways and pneumonia,newborns,"meconium-stained amniotic fluid; cyanosis, intercostal retractions; distended chest","Blood culture to rule out sepsis, CXR shows atelectasis, areas of hyperinflation, or pneumothorax","Suction nose, mouth, and upper airway at birth; supplemental O2; surfactant therapy, +/- empiric antibiotic therapy 
",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3228378/,
Cystic fibrosis ,Pediatric,Pulmonology,"Autosomal recessive disorder caused by defect in chloride-pumping channel in exocrine glands

",Risk factors: whites at higher risk than other races,"recurrent pulmonary infections, hemoptysis, chronic sinusitis, steatorrhea, digital clubbing, esophageal varices, rectal prolapse
","Decreased serum Na; sweat test shows increased Na and increased Cl, mutated CFTR gene","DNase aids in decreasing the viscosity of secretions; chest physical therapy, bronchodilators, NSAIDs, antibiotics s and vitamins A, D, E,
and K ",https://www.aafp.org/afp/2015/0615/p822.html,
Pyelonephritis,Adult,Nephrology,"Infection of renal parenchyma, most commonly caused by bacteria and fungi","Annual rates of 15-17/10,000 females and 3-4/10,000 males in US.
Risk factors: urinary obstruction, immunocompromised, history of DM","Flank pain, chills, urinary frequency, dysuria, urgency; fever (>101.5°F/38°C), costovertebral tenderness","Increased WBC, ESR, CRP; WBC casts in urine; positive urine cultures ","IV fluoroquinolones, aminoglycosides, or cephalosporins ",https://www.aafp.org/afp/2005/0301/p933.html,
Nephrolithiasis,Adult,Nephrology,"Formation of “kidney” stones; stone formation can also occur elsewhere in the urinary tract causing obstruction.
","Risk factors:  prior nephrolithiasis, low fluid intake, frequent UTIs, gout, renal tubular acidosis, hypercalcemia,  males > females","Acute severe colicky flank pain that may extend to inner thigh or genitals, gross hematuria","Urinalysis shows hematuria, abdominal X-ray shows stones, CT/US to locate stones; intravenous pyelogram (IVP) shows filling defect ","Hydration and pain control, shockwave lithotripsy, surgery 
","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2518455/
https://www.youtube.com/watch?v=E96kKT3TPMI",
Polycystic kidney disease,Both,Nephrology,"Hereditary syndrome characterized by the formation of cysts in one or both kidneys leading to eventual kidney function impairment and failure 

","Autosomal dominant: most common form; affects adults
Autosomal recessive: rare form; presents in children","asymptomatic, flank pain, chronic UTI, gross hematuria; large, palpable kidneys","Increased BUN  and creatinine, anemia; urinalysis shows hematuria and proteinuria, US/CT will show large multicystic kidneys","vasopressin receptor antagonists and amiloride, drainage of large cysts; dialysis or transplant ",https://www.ncbi.nlm.nih.gov/books/NBK532934/,
acute interstitial nephritis,Adult,Nephrology,"Damage of renal tubules or parenchyma caused by drugs, toxins, infection, or autoimmune processes
","three general categories: drug-induced, infection-associated, and cases associated with immune or neoplastic disorders ","Symptoms of acute kidney injury, rash; fever","Increased Cr, eosinophilia; granular or epithelial casts on urine analysis, renal biopsy shows infiltration of inflammatory cells and renal tubular necrosis","Treat the cause, supportive care, corticosteroids 
",https://www.aafp.org/afp/2003/0615/p2527.html,
Postinfectious glomerulonephritis,Both,Nephrology,Sequelae of systemic infection (most commonly group A streptococcus),Incidence 8.5 to 28.5 per 100000 individuals. more in males than females,"Recent infection, oliguria, edema, brown urine, hypertension;
","Hematuria and proteinuria in urinalysis, high ASO titer, subepithelial “humps” of IgG and C3 on renal basement membrane ","Self-limited, supportive treatment (decrease edema
and hypertension)",https://pubmed.ncbi.nlm.nih.gov/22885383/,
IgA nephropathy (Berger disease),Adult,Nephrology,Idiopathic deposition of IgA immune complexes in mesangial cells,"Rare in the US and Europe, common in Asia and the Middle East.  12.6-20/100,000 people in the US","Hematuria, flank pain, low-grade fever","Increased serum IgA, mesangial cell proliferation on electron microscopy","Occasionally self-limited; give ACE-I and statins for
persistent proteinuria; corticosteroids ",https://pubmed.ncbi.nlm.nih.gov/27189177/,
Goodpasture syndrome,Both,Nephrology,Progressive autoimmune disease of lungs and kidneys caused by anti-GBM antibodies characterized by intra-alveolar hemorrhage and glomerulonephritis,"Incidence of 0.5 - 1.8 cases per million per year in European white and Asians, the bimodal age distribution in 20 - 30 years and 60 - 70 years old","Hemoptysis, dyspnea, recent respiratory infection","positive anti-GBM antibodies; proteinuria and granular casts; renal biopsy shows crescentic glomerulonephritis and IgG deposition along glomerular capillaries, CXR shows bilateral alveolar infiltration","Plasmapheresis, corticosteroids, immunosuppressants",https://pubmed.ncbi.nlm.nih.gov/25462583/,
Alport syndrome,Both,Nephrology,Hereditary defect in collagen IV in basement membrane,"1 in 5,000-10,000 people in US","Hematuria, symptoms of renal failure, high-frequency hearing loss, cataracts, lenticonus","Red cell casts, hematuria, proteinuria, and pyuria on urinalysis; “split basement membrane” on electron microscopy",ACE-I may reduce proteinuria; renal transplant ,https://pubmed.ncbi.nlm.nih.gov/32712016/,
Rapidly Progressive Glomerulonephritis,Both,Nephrology,Rapidly progressive renal failure from idiopathic causes or associated with other glomerular diseases or systemic infection," The annual incidence of RPGN is 0.7/100,000.","Sudden renal failure, weakness, nausea, weight loss, dyspnea,
hemoptysis, myalgias, fever, oliguria","Inflammatory cells deposition and fibrosis of Bowman capsule, and basement membrane wrinkling on electron microscopy; pauci-immune RPGN is ANCA1","Corticosteroids, plasmapheresis, immunosuppressants, renal transplant frequently ","https://www.ncbi.nlm.nih.gov/books/NBK557430/
http://www.histopathology.guru/rpgn-and-structureof-the-crescent/",
Lupus nephritis,Both,Nephrology,Complication of SLE involving proliferation of endothelial and mesangial cells,"Incidence 7.4-159.4 cases per 100,000 people","Asymptomatic, HTN or renal failure; may develop nephrotic syndrome","ANA, anti-DNA antibodies; hematuria, proteinuria ","Corticosteroids, immunosuppressive agents, ACE-I reduce proteinuria",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6812494/,
Minimal change disease,Both,Nephrology,Idiopathic; may involve effacement (flattening) of foot processes on the basement membrane. Major cause of nephrotic syndrome,"10–50 cases per 100,000 children. Slightly more common in Asia and has a male predominance (approximately 2:1) in young children ","HTN, prone to infections; most common cause of nephrotic syndrome in children","Hyperlipidemia, hypoalbuminemia; proteinuria, flattening of basement membrane foot processes seen on electron microscopy","Corticosteroids, cytotoxic agents","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293332/
https://www.youtube.com/watch?v=dVWXlovWzAk",
Focal segmental glomerular sclerosis,Adult,Nephrology,"Idiopathic or associated with drug use or HIV; segmental
sclerosis of glomeruli","Most common cause of nephrotic syndrome
in adults in the US.  Most common cause of ESRD in African-American children","Hypertension, edema, and weight gain. ",Hypoalbuminemia; hematuria and high proteinuria  sclerotic changes seen in some glomeruli on EM,"Corticosteroids, cytotoxic agents, ACE-I, statins",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1764601/,
Diabetic nephropathy,Adult,Nephrology,"Intercapillary glomerulosclerosis, mesangial expansion, and basement membrane degeneration that develops after chronic DM

",1/3 of people with type 1 or type 2 DM,"S/s of renal insufficiency (e.g., HTN, uremia) ","Hypoalbuminemia, increased Cr, increased BUN; proteinuria and microalbuminuria; basement membrane thickening and Kimmelstiel-Wilson nodules in glomeruli on EM","control diabetes; ACE-I or angiotensin receptor blocker (ARB), low-protein diet, infection prevention; dialysis may eventually be required 
",https://www.aafp.org/afp/2005/1201/p2299.html,
Amyloidosis,Both,Nephrology,Deposition of amyloid protein fibrils in tissues,"Incidence of  1.2 per 100,000/year worldwide","Numbness, tingling, carpal tunnel, glaucoma, heart failure, edema, and renal failure, wasting. ","Hyperlipidemia, hypoalbuminemia, elevated Cr; proteinuria, apple-green birefringence on polarized light","Melphalan, hematopoietic stem cell transplant, renal transplant",https://www.ncbi.nlm.nih.gov/books/NBK470285/,
Renal tubular acidosis Type 1,Pediatric,Nephrology,"Impaired H1 secretion leading to secondary hyperaldosteronism caused by Idiopathic, autoimmune diseases, drugs, etc",more in females than males,"Confusion, Impaired growth in children, Increased breathing rate.  Nephrocalcinosis, Osteomalacia, Muscle weakness.","pH>5.3, Low K1, variable HCO32, stones","Oral HCO32, K1, thiazide diuretic","https://www.youtube.com/watch?v=WI-gPbmMBMM
https://www.fever.pk/renal-tubular-acidosis/",
Renal tubular acidosis Type 2,Both,Nephrology,"HCO32 reabsorption, Causes are idiopathic, multiple myeloma,  Fanconi syndrome, Wilson disease, amyloidosis",essentially higher risk if having an underlying cause. ,"Confusion, Impaired growth in children, Increased breathing rate.  Nephrocalcinosis, Osteomalacia, Muscle weakness.","pH <5.3, Low K1, low HCO3, bone lesions, ","
Oral HCO32, K1; thiazide or loop diuretic",https://www.youtube.com/watch?v=4WlgI3Ff5pE,
Renal tubular acidosis Type 4,Adult,Nephrology,tubular dysfunction causes reduced renal clearance of potassium; a reduced rate of renal bicarbonate reabsorption at normal plasma bicarbonate concentrations,"Caused by Primary or secondary hypoaldosteronism, Cause; Primary renin or aldosterone  deficiency, DM, Addison disease, sickle cell disease, interstitial  disease","Growth retardation, muscle weakness, dehydration, polyuria","pH <5.3, High K1, high C","Fludrocortisone, K restriction",https://pubmed.ncbi.nlm.nih.gov/3908957/,
Diabetes insipidus,Adult,Nephrology,"Disorders of ADH-directed water reabsorption leading to dehydration and hypernatremia
","low prevalence of 1 in 25,0000.","Polydipsia, polyuria, signs of dehydration","Hypernatremia, Low urine osmolality, CT with contrast or MRI may show pituitary tumor","Treat underlying condition, desmopressin (DDAVP), salt restriction, increased H2O intake; thiazide diuretics ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7996474/
https://www.youtube.com/watch?v=BRHMC9wSoHc",
SIADH,Both,Nephrology,"Nonphysiologic release of ADH caused by CNS pathology, sarcoidosis, paraneoplastic syndromes, psychiatric drugs, etc","Prevalence 2500-3000/100,000 individuals",Chronic hyponatremia,"Serum hypo-osmolarity (<280 mOsm/kg) with urine osmolarity
<100 mOsm/kg; urine Na <20 mEq/L","Fluid restriction; loop diuretics, hypertonic saline, demeclocycline ","https://www.youtube.com/watch?v=qlur2m72Pmc
https://pubmed.ncbi.nlm.nih.gov/7629492/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3474650/",
Wilms tumor,Pediatric,Nephrology,"1. Malignant tumor of renal origin presenting 
2. Risk factors 5 family history, neurofibromatosis, other genitourinary abnormalities","Incidence is 1/10,000 worldwide","weight loss, dysuria, polyuria; palpable abdominal or
flank mass, hypertension","Measure BUN, Cr, and CBC to assess kidney function
CT/US shows renal mass; CXR and CT can show metastases","Nephrectomy, chemotherapy, radiotherapy","https://doi.org/10.6004/jnccn.2021.0037
https://www.youtube.com/watch?v=oo-dQmn0NDg",
Cryptorchidism,Pediatric,Nephrology,Testes lying in abdominal cavity and not consistently located within scrotum,Prevalence is 30% in premature male neonates.," Empty scrotal sac, testes inconsistently found in scrotum","Testes not palpable in scrotum, unable to milk down from inquinal canals","Exogenous hCG administration or orchiopexy,
",https://www.ncbi.nlm.nih.gov/books/NBK470270/,
Posterior urethral valves,Pediatric,Nephrology,"Abnormal folds of tissue in the distal prostatic urethra, causing bladder outlet obstruction and weak urinary stream",incidence is 1:5000–1:8000 in males.,"Often diagnosed on prenatal US; weak urinary stream, UTI; abdominal distention","US reveals thick-walled bladder, bilateral hydronephrosi",Cystoscopic transurethral ablation of abnormal tissue or vesicostomy,,
Carpal tunnel syndrome,Adult,Orthopedics,"median nerve compression at the wrist, associated with hypothyroidism, obesity, overuse.
","Pregnancy, RA, DM, acromegaly, overuse, etc
 30 to 55 years of age; female  > male","Wrist pain that radiates up the arm and worsens with hand flexion and grasping, decreased hand strength, numbness in the thumb and in the index and middle fingers

","Positive Tinel sign and Phalen sign, nerve conduction studies show impaired conduction","Wrist splints, activity modification, NSAIDs, corticosteroid injections, surgery","https://www.youtube.com/watch?v=z-SeJh5-nOo
https://www.aafp.org/afp/2016/1215/p993.html",
Compartment syndrome,Adult,Orthopedics,"Trauma in extremities leads to reperfusion injury and swelling of fascial compartments 
Most common in the lower leg and forearm
","Incidence is 7.3/100,000 in males and 0.7/100,000 in females.","6 Ps: Pain, Pallor, Poikilothermia, Pulselessness, Paresthesia, Paralysis, ","Elevated compartment pressures, compartment pain with passive stretching is best screening test","Emergent fasciotomy for pressures > 30 mm Hg or for pressures
within 20 mm Hg of diastolic blood pressure",https://www.youtube.com/watch?v=iZ7zRzgMgdk,
Colles Fracture,Both,Orthopedics,Distal radius with or without distal ulna,,"Fall on outstretched hand, distal radius is posteriorly displaced and angulated (forearm profile looks like a dinner fork)","History, clinical examination, x-ray","Closed reduction, Long arm cast, surgery",,
Smith Fracture,Both,Orthopedics,fracture of distal radius,children with high-energy falls and osteoporotic seniors with low-energy falls.,"Fall on flexed wrists, distal radius is anteriorly displaced.","History, clinical examination, x-ray","Cast, Closed reduction, surgery",https://www.ncbi.nlm.nih.gov/books/NBK547714/,
Scaphoid Fracture,Both,Orthopedics,Fracture of Scaphoid bone, most common in males 15 to 30 years of age,"Snuffbox” tenderness, fall on  radially deviated outstretched hand","History, clinical examination, x-ray",Thumb spica cast. Possible surgery,https://www.aafp.org/afp/2004/0901/p879.html,
Boxer Fracture,Both,Orthopedics,Fracture of Fifth-metacarpal neck,,Punching hard object or surface with a strong force applied to fifth metacarpal,"History, clinical examination, x-ray","Closed reduction. Ulnar gutter splint, Surgical pinning",,
Monteggia Fracture,Both,Orthopedics,Fracture of proximal one-third of ulna with dislocation of radial head,,"Fracture of proximal one-third of ulna with dislocation of the radial head, Fall on the outstretched arm with arm hyperpronated","History, clinical examination, x-ray","Closed reduction of the radial head, Surgery","https://www.aafp.org/afp/1998/0301/p995.html
https://radiopaedia.org/cases/monteggia-and-galeazzi-fracture-dislocations-mnemonic",
Galeazzi Fracture,Both,Orthopedics,Fracture of distal shaft of radius and dislocation of DRUJ,,"Fracture of distal shaft of radius and dislocation of DRUJ
Trauma (direct blow or fall) 
","History, examination, x-ray","Surgical repair, Cast forearm in supination to maintain reduction of DRUJ",https://radiopaedia.org/cases/monteggia-and-galeazzi-fracture-dislocations-mnemonic,
Degenerative disc disease,Adult,Orthopedics,"Degenerative changes in disc leading to its herniation
","Most common in the lumbosacral region (L4–L5, L5–S1 discs).","Pain along path of compressed nerve; sensory and motor deficits, the pain worsens with Valsalva maneuver, MRI confirms the diagnosis",MRI/Ct to confirm diagnosis and to view bones,"Self-limited; NSAIDs, activity modification, epidural injection, surgical decompression ","https://www.aafp.org/afp/2004/0801/p517.html
https://www.aafp.org/afp/2002/0601/p2299.html",
Spinal stenosis,Adult,Orthopedics,"Generalized narrowing of bony spaces in the spine secondary to arthritic changes, causing nerve compression
",Most common in middle-aged and older adults.,"Radiating pain that is worse with standing and walking (“pseudoclaudication”), pain relieved when leaning forward ",CT/X-ray confirms diagnosis; MRI helpful to rule out herniation,"NSAIDs, physical therapy, epidural injections, surgical decompression",https://www.youtube.com/watch?v=WAeSJ4sxTvo,
Cauda equina syndrome,Adult,Orthopedics,"nerve roots in the lumbar spine are compressed, cutting off sensation and movement
",,"Urinary retention, change in bowel habits, saddle anesthesia, decreased bulbocavernosus reflex","Ct/MRI, Bladder scan, ","Emergency surgical decompression, IV corticosteroids, radiotherapy for neoplasms",https://orthoinfo.aaos.org/en/diseases--conditions/cauda-equina-syndrome/,
Erb-Duchenne palsy,Pediatric,Orthopedics,Injury to Superior trunk caused by hyper-adduction of arm causing widening of the humeral-glenoid gap.,macrosomia (large baby) and shoulder dystocia,Waiter’s tip (arm extended and adducted with pronated forearm),History and clinical examination,"physical therapy, NSAIDs, opioid analgesics","https://www.youtube.com/watch?v=lNNO3x6nPAs
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2724163/",
Claw hand,Adult,Orthopedics,Injury to Ulnar nerve caused by Epiphyseal separation of medial epicondyle of humerus,"Men are more likely to acquire the condition than women, but the congenital form of claw hand is distributed evenly among both sexes.","Weak finger adduction, poor fourth- or fifth finger flexion, clawed fourth or fifth fingers from lumbrical weakness","
History and clinical examination","Physical therapy, analgesics","https://www.orthobullets.com/hand/6027/trigger-finger
https://www.ncbi.nlm.nih.gov/books/NBK507781/",
Klumpke palsy,Adult,Orthopedics,"Injury to posterior or medial cords due to hyper-abduction of arm places excess tension on lower cords and nearby sympathetic chain
",,"Claw hand, poor wrist and hand function, association with Horner syndrome",History and clinical examination,"Physical therapy, Analgesics",https://www.youtube.com/watch?v=q53aJWD7NVw,
